,name,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max,address1,address2,line,station,walk_minutes
119,グローベル ザ・高円寺プレミアム,2017/11,28980000,28980000,1K,1K,25.11,25.11,杉並区,高円寺南４,ＪＲ中央線,高円寺,5
120,ルネ八王子トレーシア,2019/2,29000000,46000000,3LDK,3LDK,68.11,80.34,八王子市,八日町,ＪＲ中央線,八王子,10
121,ウィルローズ王子,2018/7,29900000,59500000,1LDK,3LDK,35.74,68.47,北区,王子２,ＪＲ京浜東北線,王子,7
122,シティハウス八王子北野ステーションコート,2018/2,30980000,40980000,2LDK,3LDK,55.09,70.03,八王子市,打越町,京王線,北野,4
123,リビオ多摩川,2017/12,31880000,58780000,1LDK,3LDK,33.75,72.49,大田区,矢口３,東急多摩川線,矢口渡,6
124,サンクレイドル上野II,2018/3,32280000,58880000,1DK,2LDK,32.95,53.44,台東区,東上野５,ＪＲ山手線,上野,5
125,リストレジデンス王子,2017/11,33900000,43800000,1LDK,2LDK,39.36,47.18,北区,豊島１,東京メトロ南北線,王子,5
126,シティテラスひばりが丘,2017/11,33980000,39980000,3LDK,3LDK,67.61,70.15,西東京市,ひばりが丘３,西武池袋線,ひばりヶ丘,18
127,アデニウム ザ・オアシスガーデン,2017/11,33980000,40880000,3LDK,3LDK,64.09,75.14,葛飾区,新宿３,京成本線,京成高砂,15
128,イニシア西新井,2018/3,34000000,49000000,2LDK+S,2LDK+S,71.42,86.17,足立区,島根４,東武伊勢崎線,西新井,9
129,ミオカステーロ東日暮里,2017/11中,34000000,34000000,1LDK+S,1LDK+S,55.02,55.02,荒川区,東日暮里２,東京メトロ日比谷線,三ノ輪,9
130,プレサンス ロジェ 熊野前,2018/1,34000000,47000000,2LDK+S,2LDK+S,68.64,68.64,荒川区,東尾久６,東京メトロ千代田線,町屋,15
131,シティハウス東麻布,2017/11,34900000,79900000,1K,2LDK,25.38,55.27,港区,東麻布１,都営大江戸線,赤羽橋,4
132,リビオ中野坂上パークフロント,2017/11,34980000,34980000,1LDK,1LDK,36.37,36.37,中野区,中央２,東京メトロ丸ノ内線,中野坂上,8
133,ソルフィエスタ亀戸ルシーア,2018/6,34990000,42990000,2LDK+S,3LDK,60.25,61.47,墨田区,立花３,ＪＲ総武線,亀戸,13
134,アーデル曳舟マークイースト,2017/11,35800000,37700000,2LDK+S,3LDK,65.01,66.63,墨田区,八広３,京成押上線,京成曳舟,11
135,サンクレイドル平井,2018/10,35900000,57000000,2LDK,2LDK,55.6,72.0,江戸川区,平井６,ＪＲ総武線,平井,4
136,ベルフール篠崎アラーナ,2018/3,36000000,53000000,3LDK,3LDK,60.19,74.34,江戸川区,篠崎町２,都営新宿線,篠崎,6
137,ザ府中ハウス,2017/11末,36900000,36900000,2LDK+S,2LDK+S,65.88,65.88,府中市,八幡町２,京王線,府中,7
138,シティハウス目黒ザ・ツイン,2018/4,36980000,75980000,1R,2LDK,25.73,58.1,目黒区,下目黒２,ＪＲ山手線,目黒,9
139,フェアシス八王子新町,2017/11,36980000,36980000,3LDK,3LDK,75.64,75.64,八王子市,新町,京王線,京王八王子,5
140,ベルジュール東府中IIIステーションサイド,2017/12,37980000,49680000,3LDK,4LDK,62.37,71.61,府中市,清水が丘１,京王線,東府中,2
141,グローベル ザ・国分寺クリスタ,2017/11,37980000,46280000,1LDK,1LDK,35.47,35.47,国分寺市,本町３,ＪＲ中央線,国分寺,5
142,シティテラス府中緑町,2018/4,37980000,54980000,2LDK+S,4LDK,70.2,78.36,府中市,緑町３,京王線,東府中,4
143,リビオ文京茗荷谷,2017/11,38900000,77100000,1LDK,1LDK,39.47,39.47,文京区,千石２,都営三田線,千石,10
144,イニシア日野,2018/3,39000000,48000000,2LDK+S,2LDK+S,72.05,75.46,日野市,新町１,ＪＲ中央線,日野,2
145,アーデル立石ワンズプレイス,2017/12,39500000,39500000,2LDK+S,2LDK+S,64.58,64.58,葛飾区,立石３,京成押上線,京成立石,6
